share,db,model
1JANATAMF,1596218400.0,1596218400.0
1STPRIMFMF,1596218400.0,1596218400.0
AAMRANET,1596218400.0,1596218400.0
AAMRATECH,1596218400.0,1596218400.0
ABB1STMF,1596218400.0,1596218400.0
ABBANK,1596218400.0,1596218400.0
ABBLPBOND,1706724000.0,1706724000.0
ACFL,1675188000.0,1675188000.0
ACHIASF,1643652000.0,1643652000.0
ACI,1596218400.0,1596218400.0
ACIFORMULA,1596218400.0,1596218400.0
ACMELAB,1596218400.0,1596218400.0
ACMEPL,1612116000.0,1612116000.0
ACTIVEFINE,1596218400.0,1596218400.0
ADNTEL,1596218400.0,1596218400.0
ADVENT,1596218400.0,1596218400.0
AFCAGRO,1675188000.0,1675188000.0
AFTABAUTO,1596218400.0,1596218400.0
AGNISYSL,1596218400.0,1596218400.0
AGRANINS,1596218400.0,1596218400.0
AIBL1STIMF,1596218400.0,1596218400.0
AIL,1675188000.0,1675188000.0
AL-HAJTEX,1596218400.0,1596218400.0
ALARABANK,1596218400.0,1596218400.0
ALIF,1596218400.0,1596218400.0
ALLTEX,1596218400.0,1596218400.0
AMANFEED,1596218400.0,1596218400.0
AMBEEPHA,1596218400.0,1596218400.0
AMCL(PRAN),1596218400.0,1596218400.0
AMPL,1675188000.0,1675188000.0
ANLIMAYARN,1596218400.0,1596218400.0
ANWARGALV,1596218400.0,1596218400.0
AOL,1675188000.0,1675188000.0
AOPLC,1675188000.0,1675188000.0
APEXFOODS,1596218400.0,1596218400.0
APEXFOOT,1596218400.0,1596218400.0
APEXSPINN,1596218400.0,1596218400.0
APEXTANRY,1596218400.0,1596218400.0
APEXWEAV,1643652000.0,1643652000.0
APOLOISPAT,1627754400.0,1627754400.0
APSCLBOND,1706724000.0,1706724000.0
ARAMIT,1596218400.0,1596218400.0
ARAMITCEM,1596218400.0,1596218400.0
ARGONDENIM,1675188000.0,1675188000.0
ASIAINS,1596218400.0,1596218400.0
ASIAPACINS,1596218400.0,1596218400.0
ASIATICLAB,1706724000.0,1706724000.0
ATCSLGF,1675188000.0,1675188000.0
ATLASBANG,1675188000.0,1675188000.0
AZIZPIPES,1596218400.0,1596218400.0
BANGAS,1596218400.0,1596218400.0
BANKASIA,1596218400.0,1596218400.0
BARKAPOWER,1596218400.0,1596218400.0
BATASHOE,1596218400.0,1596218400.0
BATBC,1596218400.0,1596218400.0
BAYLEASING,1596218400.0,1596218400.0
BBS,1596218400.0,1596218400.0
BBSCABLES,1675188000.0,1675188000.0
BDAUTOCA,1612116000.0,1612116000.0
BDCOM,1596218400.0,1596218400.0
BDFINANCE,1675188000.0,1675188000.0
BDLAMPS,1596218400.0,1596218400.0
BDPAINTS,1643652000.0,1643652000.0
BDTHAI,1596218400.0,1596218400.0
BDTHAIFOOD,1612116000.0,1612116000.0
BDWELDING,1596218400.0,1596218400.0
BEACHHATCH,1596218400.0,1596218400.0
BEACONPHAR,1596218400.0,1596218400.0
BENGALBISC,1627754400.0,1627754400.0
BENGALWTL,1596218400.0,1596218400.0
BERGERPBL,1596218400.0,1596218400.0
BESTHLDNG,1706724000.0,1706724000.0
BEXGSUKUK,1612116000.0,1612116000.0
BEXIMCO,1596218400.0,1596218400.0
BGIC,1596218400.0,1596218400.0
BIFC,1675188000.0,1675188000.0
BNICL,1596218400.0,1596218400.0
BPML,1596218400.0,1596218400.0
BPPL,1675188000.0,1675188000.0
BRACBANK,1596218400.0,1596218400.0
BSC,1596218400.0,1596218400.0
BSCPLC,1596218400.0,1596218400.0
BSRMLTD,1596218400.0,1596218400.0
BSRMSTEEL,1596218400.0,1596218400.0
BXPHARMA,1596218400.0,1596218400.0
BXSYNTH,1690740000.0,1690740000.0
CAPITECGBF,1675188000.0,1675188000.0
CAPMBDBLMF,1675188000.0,1675188000.0
CAPMIBBLMF,1596218400.0,1596218400.0
CBLPBOND,1690740000.0,1690740000.0
CENTRALINS,1596218400.0,1596218400.0
CENTRALPHL,1596218400.0,1596218400.0
CITYBANK,1596218400.0,1596218400.0
CITYGENINS,1596218400.0,1596218400.0
CLICL,1643652000.0,1643652000.0
CNATEX,1596218400.0,1596218400.0
CONFIDCEM,1596218400.0,1596218400.0
CONTININS,1596218400.0,1596218400.0
COPPERTECH,1596218400.0,1596218400.0
CRAFTSMAN,1706724000.0,1706724000.0
CROWNCEMNT,1675188000.0,1675188000.0
CRYSTALINS,1596218400.0,1596218400.0
CVOPRL,1675188000.0,1675188000.0
DACCADYE,1596218400.0,1596218400.0
DAFODILCOM,1675188000.0,1675188000.0
DBH,1596218400.0,1596218400.0
DBH1STMF,1675188000.0,1675188000.0
DBLPBOND,1706724000.0,1706724000.0
DELTALIFE,1596218400.0,1596218400.0
DELTASPINN,1675188000.0,1675188000.0
DESCO,1627754400.0,1627754400.0
DESHBANDHU,1596218400.0,1596218400.0
DGIC,1612116000.0,1612116000.0
DHAKABANK,1596218400.0,1596218400.0
DHAKAINS,1596218400.0,1596218400.0
DOMINAGE,1596218400.0,1596218400.0
DOREENPWR,1596218400.0,1596218400.0
DSHGARME,1596218400.0,1596218400.0
DSSL,1596218400.0,1596218400.0
DULAMIACOT,1627754400.0,1627754400.0
DUTCHBANGL,1596218400.0,1596218400.0
EASTERNINS,1596218400.0,1596218400.0
EASTLAND,1596218400.0,1596218400.0
EASTRNLUB,1596218400.0,1596218400.0
EBL,1596218400.0,1596218400.0
EBL1STMF,1675188000.0,1675188000.0
EBLNRBMF,1596218400.0,1596218400.0
ECABLES,1596218400.0,1596218400.0
EGEN,1627754400.0,1627754400.0
EHL,1596218400.0,1596218400.0
EIL,1596218400.0,1596218400.0
EMERALDOIL,1596218400.0,1596218400.0
ENVOYTEX,1596218400.0,1596218400.0
EPGL,1675188000.0,1675188000.0
ESQUIRENIT,1627754400.0,1627754400.0
ETL,1675188000.0,1675188000.0
EXIM1STMF,1675188000.0,1675188000.0
EXIMBANK,1596218400.0,1596218400.0
FAMILYTEX,1596218400.0,1596218400.0
FARCHEM,1596218400.0,1596218400.0
FAREASTFIN,1675188000.0,1675188000.0
FAREASTLIF,1596218400.0,1596218400.0
FASFIN,1675188000.0,1675188000.0
FBFIF,1596218400.0,1596218400.0
FEDERALINS,1596218400.0,1596218400.0
FEKDIL,1596218400.0,1596218400.0
FINEFOODS,1596218400.0,1596218400.0
FIRSTFIN,1675188000.0,1675188000.0
FIRSTSBANK,1596218400.0,1596218400.0
FORTUNE,1627754400.0,1627754400.0
FUWANGCER,1596218400.0,1596218400.0
FUWANGFOOD,1596218400.0,1596218400.0
GBBPOWER,1596218400.0,1596218400.0
GEMINISEA,1596218400.0,1596218400.0
GENEXIL,1596218400.0,1596218400.0
GENNEXT,1596218400.0,1596218400.0
GHAIL,1596218400.0,1596218400.0
GHCL,1675188000.0,1675188000.0
GIB,1643652000.0,1643652000.0
GLDNJMF,1643652000.0,1643652000.0
GLOBALINS,1596218400.0,1596218400.0
GOLDENSON,1596218400.0,1596218400.0
GP,1596218400.0,1596218400.0
GPHISPAT,1596218400.0,1596218400.0
GQBALLPEN,1596218400.0,1596218400.0
GRAMEENS2,1675188000.0,1675188000.0
GREENDELMF,1596218400.0,1596218400.0
GREENDELT,1596218400.0,1596218400.0
GSPFINANCE,1675188000.0,1675188000.0
HAKKANIPUL,1596218400.0,1596218400.0
HAMI,1706724000.0,1706724000.0
HEIDELBCEM,1596218400.0,1596218400.0
HFL,1596218400.0,1596218400.0
HIMADRI,1675188000.0,1675188000.0
HRTEX,1627754400.0,1627754400.0
HWAWELLTEX,1596218400.0,1596218400.0
IBNSINA,1596218400.0,1596218400.0
IBP,1596218400.0,1596218400.0
ICB,1596218400.0,1596218400.0
ICB3RDNRB,1675188000.0,1675188000.0
ICBAGRANI1,1675188000.0,1675188000.0
ICBAMCL2ND,1627754400.0,1627754400.0
ICBEPMF1S1,1675188000.0,1675188000.0
ICBIBANK,1627754400.0,1627754400.0
ICBSONALI1,1675188000.0,1675188000.0
ICICL,1643652000.0,1643652000.0
IDLC,1596218400.0,1596218400.0
IFADAUTOS,1596218400.0,1596218400.0
IFIC,1596218400.0,1596218400.0
IFIC1STMF,1596218400.0,1596218400.0
IFILISLMF1,1675188000.0,1675188000.0
ILFSL,1675188000.0,1675188000.0
IMAMBUTTON,1596218400.0,1596218400.0
INDEXAGRO,1627754400.0,1627754400.0
INTECH,1596218400.0,1596218400.0
INTRACO,1596218400.0,1596218400.0
IPDC,1596218400.0,1596218400.0
ISLAMIBANK,1706724000.0,1706724000.0
ISLAMICFIN,1627754400.0,1627754400.0
ISLAMIINS,1596218400.0,1596218400.0
ISNLTD,1596218400.0,1596218400.0
ITC,1596218400.0,1596218400.0
JAMUNABANK,1596218400.0,1596218400.0
JAMUNAOIL,1596218400.0,1596218400.0
JANATAINS,1596218400.0,1596218400.0
JHRML,1643652000.0,1643652000.0
JMISMDL,1596218400.0,1596218400.0
JUTESPINN,1596218400.0,1596218400.0
KARNAPHULI,1596218400.0,1596218400.0
KAY&QUE,1690740000.0,1690740000.0
KBPPWBIL,1596218400.0,1596218400.0
KBSEED,1643652000.0,1643652000.0
KDSALTD,1627754400.0,1627754400.0
KEYACOSMET,1596218400.0,1596218400.0
KFL,1627754400.0,1627754400.0
KOHINOOR,1596218400.0,1596218400.0
KPCL,1706724000.0,1706724000.0
KPPL,1596218400.0,1596218400.0
KTL,1596218400.0,1596218400.0
LANKABAFIN,1596218400.0,1596218400.0
LEGACYFOOT,1596218400.0,1596218400.0
LHBL,1596218400.0,1596218400.0
LIBRAINFU,1596218400.0,1596218400.0
LINDEBD,1596218400.0,1596218400.0
LOVELLO,1612116000.0,1612116000.0
LRBDL,1612116000.0,1612116000.0
LRGLOBMF1,1596218400.0,1596218400.0
MAKSONSPIN,1596218400.0,1596218400.0
MALEKSPIN,1596218400.0,1596218400.0
MAMUNAGRO,1675188000.0,1675188000.0
MARICO,1596218400.0,1596218400.0
MASTERAGRO,1643652000.0,1643652000.0
MATINSPINN,1675188000.0,1675188000.0
MBL1STMF,1627754400.0,1627754400.0
MBPLCPBOND,1706724000.0,1706724000.0
MEGCONMILK,1596218400.0,1596218400.0
MEGHNACEM,1596218400.0,1596218400.0
MEGHNAINS,1643652000.0,1643652000.0
MEGHNALIFE,1596218400.0,1596218400.0
MEGHNAPET,1596218400.0,1596218400.0
MERCANBANK,1596218400.0,1596218400.0
MERCINS,1596218400.0,1596218400.0
METROSPIN,1596218400.0,1596218400.0
MHSML,1596218400.0,1596218400.0
MIDASFIN,1596218400.0,1596218400.0
MIDLANDBNK,1675188000.0,1675188000.0
MIRACLEIND,1596218400.0,1596218400.0
MIRAKHTER,1612116000.0,1612116000.0
MITHUNKNIT,1675188000.0,1675188000.0
MJLBD,1596218400.0,1596218400.0
MKFOOTWEAR,1675188000.0,1675188000.0
MLDYEING,1627754400.0,1627754400.0
MONNOAGML,1596218400.0,1596218400.0
MONNOCERA,1596218400.0,1596218400.0
MONNOFABR,1612116000.0,1612116000.0
MONOSPOOL,1612116000.0,1612116000.0
MOSTFAMETL,1643652000.0,1643652000.0
MPETROLEUM,1596218400.0,1596218400.0
MTB,1596218400.0,1596218400.0
NAHEEACP,1675188000.0,1675188000.0
NATLIFEINS,1627754400.0,1627754400.0
NAVANACNG,1596218400.0,1596218400.0
NAVANAPHAR,1643652000.0,1643652000.0
NBL,1596218400.0,1596218400.0
NCCBANK,1627754400.0,1627754400.0
NCCBLMF1,1596218400.0,1596218400.0
NEWLINE,1596218400.0,1596218400.0
NFML,1596218400.0,1596218400.0
NHFIL,1596218400.0,1596218400.0
NIALCO,1627754400.0,1627754400.0
NITOLINS,1596218400.0,1596218400.0
NORTHERN,1596218400.0,1596218400.0
NORTHRNINS,1596218400.0,1596218400.0
NPOLYMER,1675188000.0,1675188000.0
NRBBANK,1706724000.0,1706724000.0
NRBCBANK,1612116000.0,1612116000.0
NTC,1596218400.0,1596218400.0
NTLTUBES,1675188000.0,1675188000.0
NURANI,1675188000.0,1675188000.0
OAL,1596218400.0,1596218400.0
OIMEX,1675188000.0,1675188000.0
OLYMPIC,1596218400.0,1596218400.0
ONEBANKPLC,1596218400.0,1596218400.0
ORIONINFU,1596218400.0,1596218400.0
ORIONPHARM,1596218400.0,1596218400.0
ORYZAAGRO,1643652000.0,1643652000.0
PADMALIFE,1596218400.0,1596218400.0
PADMAOIL,1596218400.0,1596218400.0
PAPERPROC,1612116000.0,1612116000.0
PARAMOUNT,1596218400.0,1596218400.0
PDL,1596218400.0,1596218400.0
PENINSULA,1596218400.0,1596218400.0
PEOPLESINS,1596218400.0,1596218400.0
PF1STMF,1675188000.0,1675188000.0
PHARMAID,1675188000.0,1675188000.0
PHENIXINS,1596218400.0,1596218400.0
PHOENIXFIN,1627754400.0,1627754400.0
PHPMF1,1596218400.0,1596218400.0
PIONEERINS,1596218400.0,1596218400.0
PLFSL,1706724000.0,1706724000.0
POPULAR1MF,1596218400.0,1596218400.0
POPULARLIF,1612116000.0,1612116000.0
POWERGRID,1596218400.0,1596218400.0
PRAGATIINS,1596218400.0,1596218400.0
PRAGATILIF,1612116000.0,1612116000.0
PREMIERBAN,1596218400.0,1596218400.0
PREMIERCEM,1675188000.0,1675188000.0
PREMIERLEA,1627754400.0,1627754400.0
PRIME1ICBA,1675188000.0,1675188000.0
PRIMEBANK,1596218400.0,1596218400.0
PRIMEFIN,1627754400.0,1627754400.0
PRIMEINSUR,1675188000.0,1675188000.0
PRIMELIFE,1596218400.0,1596218400.0
PRIMETEX,1596218400.0,1596218400.0
PROGRESLIF,1596218400.0,1596218400.0
PROVATIINS,1596218400.0,1596218400.0
PTL,1596218400.0,1596218400.0
PUBALIBANK,1596218400.0,1596218400.0
PURABIGEN,1596218400.0,1596218400.0
QUASEMIND,1675188000.0,1675188000.0
QUEENSOUTH,1596218400.0,1596218400.0
RAHIMAFOOD,1596218400.0,1596218400.0
RAHIMTEXT,1612116000.0,1612116000.0
RAKCERAMIC,1596218400.0,1596218400.0
RANFOUNDRY,1596218400.0,1596218400.0
RDFOOD,1596218400.0,1596218400.0
RECKITTBEN,1596218400.0,1596218400.0
REGENTTEX,1675188000.0,1675188000.0
RELIANCE1,1596218400.0,1596218400.0
RELIANCINS,1596218400.0,1596218400.0
RENATA,1596218400.0,1596218400.0
RENWICKJA,1596218400.0,1596218400.0
REPUBLIC,1596218400.0,1596218400.0
RINGSHINE,1596218400.0,1596218400.0
RNSPIN,1675188000.0,1675188000.0
ROBI,1596218400.0,1596218400.0
RSRMSTEEL,1596218400.0,1596218400.0
RUNNERAUTO,1596218400.0,1596218400.0
RUPALIBANK,1596218400.0,1596218400.0
RUPALIINS,1596218400.0,1596218400.0
RUPALILIFE,1596218400.0,1596218400.0
SADHESIVE,1643652000.0,1643652000.0
SAFKOSPINN,1596218400.0,1596218400.0
SAIFPOWER,1596218400.0,1596218400.0
SAIHAMCOT,1627754400.0,1627754400.0
SAIHAMTEX,1596218400.0,1596218400.0
SALAMCRST,1675188000.0,1675188000.0
SALVOCHEM,1627754400.0,1627754400.0
SAMATALETH,1596218400.0,1596218400.0
SAMORITA,1596218400.0,1596218400.0
SANDHANINS,1596218400.0,1596218400.0
SAPORTL,1596218400.0,1596218400.0
SAVAREFR,1690740000.0,1690740000.0
SBACBANK,1612116000.0,1612116000.0
SEAPEARL,1612116000.0,1612116000.0
SEMLFBSLGF,1627754400.0,1627754400.0
SEMLIBBLSF,1675188000.0,1675188000.0
SEMLLECMF,1675188000.0,1675188000.0
SHAHJABANK,1596218400.0,1596218400.0
SHASHADNIM,1627754400.0,1627754400.0
SHEPHERD,1675188000.0,1675188000.0
SHURWID,1596218400.0,1596218400.0
SHYAMPSUG,1596218400.0,1596218400.0
SIBL,1596218400.0,1596218400.0
